品目コード,品目名称,箱種,品目名称_2
22596,Y86300-60610-B,,
22683,39160-TF0-J010-M1,,
23275,86992-B1010,,
24982,484120-10300,,
26988,484120-10360,,
25880,86101-21230-B,,
26577,484120-10160-A,,
26632,484120-10140-C,,
26851,282K114-3,,
26852,282K114-4,,
27897,86316-B1080-A,,
27898,86316-B1090-A,,
27916,86316-B1110-B,,
28421,8723A093,,
28422,8723A094,,
28838,86316-B2140-B,,
28839,86316-B2150-B,,
28969,Y8723A094,,
28971,86316-B2170-A,,
29166,86316-B2180-B,,
60505,8723A436,,
60506,8723A437,,
60508,8723A439,,
60510,8723A441,,
60511,8723A442,,
60512,8723A443,,
60685,39156-SZT-J510-M1-1,,
60686,39156-SZT-J610-M1-1,,
60687,39156-SZT-J710-M1-1,,
60688,39160-SZT-J510-M1-1,,
60689,39160-SZT-J610-M1-1,,
60690,39167-SZT-J510-M1-1,,
61004,86300-60480-C-1,,
61006,86300-60560-C-1,,
61008,86300-60580-D-1,,
61186,86300-60490-D,,
61188,86300-60590-D,,
61189,86300-60610-D,,
61194,39160-TF0-J310-M1,,
61474,39156-SNA-A020,,
61499,86300-28461,,
61501,86300-28481,,
61508,86316-B2270-D,,
61509,86316-B2280-D,,
61527,8723A087H-1,,
61528,8723A088I-1,,
61533,8723A132H-1,,
61562,Y86300-28461,,
61579,L86300-60580-D-1,,
61580,L86300-60590-D,,
61643,86300-28500-B,,
61730,8723A058-3,,
61733,Y86300-28481,,
61744,39160-SLE-J012-M1,,
61747,39160-SLE-J312-M1,,
61748,39160-SLE-J412-M1,,
61751,39160-SLE-J712-M1,,
61811,86316-B4181,,
61812,86316-B4191,,
61834,39160-SLE-J212-M1-1,,
61835,39160-SLE-J612-M1-1,,
61910,39156-SLE-J013-M1,,
61911,39156-SLE-Q013-M1,,
61914,39584-SLE-J012-M1,,
61915,39836-SLE-J013-M1,,
61920,K86300-48261-A,,
62256,K86300-75030-B,,
62396,39515-TF0-M010-M1,,
62611,39271-71L00,,
62612,39271-71L10,,
62613,39271-71L20,,
62643,39156-SZT-G010-M1,,
62662,86300-58040-C,,
62663,86300-58060-B,,
62684,Y86300-58040-C,,
62694,86101-21231-1,,
62738,L86300-60660-B,,
62739,Y86300-60660-B,,
62740,L86300-60670-C,,
62741,Y86300-60670-C,,
62746,Y86300-48270-D,,
62747,86300-48280-D,,
62810,8723A221,,
62875,Y86300-28500-B,,
62946,39160-SZT-G010-M1-1,,
62948,39160-SZT-J210-M1-1,,
62949,39167-SZT-J210-M1-1,,
62951,39168-SZT-J212-M1-1,,
62953,39168-SZT-J311-M1-1,,
63088,39156-TF0-J020-M1,,
63144,8723A091L,,
63145,Y8723A091L,,
63372,8723A223,,
63373,8723A224,,
63391,86316-B2430-J,,
63393,86316-B2370-J,,
63415,8723A160-3,,
63547,86316-B2420-K,,
63548,86316-B2360-L,,
63628,8723A261,,
63629,8723A262,,
63719,Y86300-48261-A,,
63750,39166-TM8-E010-M1,,
63756,86316-B2500-A,,
63763,86316-B2490-B,,
63927,86300-60760,,
63928,L86300-60760,,
63929,86300-60770,,
63930,L86300-60770,,
63931,86300-60780,,
63933,86300-60790,,
63935,86300-60830,,
63945,K86300-48310,,
64010,39515-TR8-M010-M1,,
64026,39156-T0A-J113-M1,,
64027,39156-T0A-J313-M1,,
64031,39836-T0A-J012-M1,,
64112,86050-60180,,
64113,86050-60300-A,,
64116,Y86050-60180,,
64117,Y86050-60300-A,,
64119,Y86681-71010,,
64127,39160-SZT-A010-M1,,
64255,AG00D 71000S-1,,
64348,86300-48330-A,,
64349,Y86300-48330-A,,
64355,K86300-48330-A,,
64375,39160-TY0-J112-M1,,
64376,39160-TY0-J212-M1,,
64462,Y86300-33350-A,,
64464,K86300-33350-A,,
64542,S39156-TF7-J510-M1,,
64562,39156-TF0-E210-M1-1,,
64596,Y86300-60830,,
64597,Y86300-60790,,
64598,Y86300-60780,,
64599,Y86300-60770,,
64600,Y86300-60760,,
64623,K86050-53130,,
64624,K86050-53140,,
64630,Y86050-76050,,
64631,Y86050-76060,,
64633,Y86050-53140,,
64635,Y86300-48310,,
64694,659018-0140,,
64699,347-0659-003,,
64734,39156-T2A-A011-M1,,
64735,39156-T2A-A211-M1,,
64800,86300-58070,,
64801,Y86300-58070,,
64802,86300-58080,,
64803,Y86300-58080,,
64804,86300-58090,,
64814,39167-TY7-J110-M1,,
64815,39167-TY7-N210-M1,,
64846,39160-TF7-J410-M1,,
64902,39160-TY7-J111-M1,,
64903,39160-TY7-J211-M1,,
64921,39836-T2A-A012-M1,,
64950,39166-SZT-A010-M1,,
65026,D08663-00520,,
65086,39156-SZT-A010-M1-1,,
65087,39156-SZT-G020-M1-1,,
65088,39156-SZT-J310-M1-1,,
65089,8723A289,,
65090,8723A290,,
65091,8723A291,,
65400,39156-T4G-J211-M1-1,,
65401,39160-T4G-J010-M1-1,,
65402,39160-T4G-J110-M1-1,,
65454,86681-12020,,
65557,39156-T3V-J111-Y1,,
65571,Y86300-60580-D-1,,
65699,39156-SZT-J410-M1,,
65700,39160-SZT-J310-M1,,
65751,39836-T3V-J012-Y1,,
65909,K86300-75020-C,,
66050,86101-78630-A,,
66051,86101-78650-A,,
66053,86101-78670-A,,
66054,86101-78680-A,,
66073,86316-B2640-K,,
66101,86316-B2680,,
66102,86316-B2690,,
66284,K86101-78110-A,,
66288,K86101-78180-A,,
66289,K86101-78190-A,,
66299,K86101-78310-A,,
66300,K86101-78330-A,,
66304,K86101-78390-A,,
66307,K86101-78440-A,,
66308,K86101-78460-A,,
66309,K86101-78500-A,,
66310,K86101-78510-A,,
66313,K86101-78570-A,,
66314,K86101-78580-A,,
66346,86101-33F00,,
66347,86101-33E90,,
66418,86316-B1301,,
66456,86316-B2630-J,,
66825,K86101-78070-B,,
66826,K86101-78090-B,,
67016,Y86101-78010-A,,
67017,Y86101-78020-A,,
